id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,Show me an Italian pasta recipe for beginners
5,I need a gluten-free dinner idea using salmon
6,What can I make with leftover vegetables and eggs?
7,Give me a spicy Indian curry recipe
8,I want a healthy smoothie recipe for weight loss
9,Show me how to make homemade pizza dough
10,What's a good recipe for a romantic dinner date?
11,I need a kid-friendly lunch that's not boring
12,Give me a recipe using only pantry staples
13,Show me a traditional Mexican dish
14,I want to make something with fresh herbs from my garden
15,What's a good recipe for meal prep on Sunday?
